Y,X,Z,Omega,psi,U,V
0,0.9302325581,0,-0.0208208885,0,-0.0004348171,0
0,0.9379844961,0,-0.019141803,0,-0.0004055783,0
0,0.9457364341,0,-0.016584457,0,-0.0003555753,0
0,0.9534883721,0,-0.0133525757,0,-0.000289561,0
0,0.9612403101,0,-0.0097223032,0,-0.0002138532,0
0,0.9689922481,0,-0.0060617324,0,-0.0001366994,0
0,0.976744186,0,-0.0028367078,0,-6.8438330861E-05,0
0,0.984496124,0,-0.0008302348,0,-2.0569330189E-05,0
0,0.992248062,0,0.0068393972,0,0,0
0.007751938,0,0,-0.0011902334,0,0,0.000024393
0.007751938,0.007751938,0,-0.001588496,2.6295738E-08,0.000018827,-1.8822660123E-05
0.007751938,0.015503876,0,-0.0023010486,1.00279676E-07,5.9460532752E-05,-6.733235027E-06
0.007751938,0.023255814,0,-0.0032503041,1.90196011E-07,0.0001076962,-1.3251120709E-05
0.007751938,0.0310077519,0,-0.0040285966,2.73442193E-07,0.0001512008,-8.955084355E-06
0.007751938,0.0387596899,0,-0.0042862014,3.35110969E-07,0.0001811473,-6.356670038E-06
0.007751938,0.0465116279,0,-0.0037664897,3.65734692E-07,0.0001916604,-1.57585276E-06
0.007751938,0.0542635659,0,-0.0022940477,3.59582523E-07,0.0001790453,3.287884924E-06
0.007751938,0.0620155039,0,0.0002428695,3.13479925E-07,0.000141161,8.613747076E-06
0.007751938,0.0697674419,0,0.0039078168,0.000000226,7.6966639186E-05,1.3966366228E-05
0.007751938,0.0775193798,0,0.0087283829,0.000000097,-1.3800218418E-05,1.9311316191E-05
0.007751938,0.0852713178,0,0.0147054945,-0.000000073,-0.0001308497,2.4522617571E-05
0.007751938,0.0930232558,0,0.0218204096,-2.82769353E-07,-0.0002735007,2.9552110724E-05
0.007751938,0.1007751938,0,0.0300399716,-5.3061748E-07,-0.0004407973,3.4352184055E-05
0.007751938,0.1085271318,0,0.0393205694,-8.1470046E-07,-0.0006315924,3.8896723728E-05
0.007751938,0.1162790698,0,0.0496111416,-0.000001133,-0.0008446107,4.3167172172E-05
0.007751938,0.1240310078,0,0.0608554664,-1.483224746E-06,-0.0010784945,4.7153657032E-05
0.007751938,0.1317829457,0,0.0729939157,-1.86327678E-06,-0.0013318385,5.0851538671E-05
0.007751938,0.1395348837,0,0.0859648018,-2.270873907E-06,-0.0016032154,5.4260513862E-05
0.007751938,0.1472868217,0,0.0997054118,-2.703785371E-06,-0.001891196,5.7383306268E-05
0.007751938,0.1550387597,0,0.1141527989,-3.159810861E-06,-0.0021943633,6.0224915532E-05
0.007751938,0.1627906977,0,0.1292443842,-3.636795383E-06,-0.0025113233,6.2791943538E-05
0.007751938,0.1705426357,0,0.1449184072,-4.132639728E-06,-0.0028407129,6.509210574E-05
0.007751938,0.1782945736,0,0.1611142576,-4.645307492E-06,-0.003181205,6.7133833148E-05
0.007751938,0.1860465116,0,0.1777727098,-5.172829383E-06,-0.0035315121,0.000068926
0.007751938,0.1937984496,0,0.1948360814,-5.713305375E-06,-0.0038903887,7.047749326E-05
0.007751938,0.2015503876,0,0.2122483291,-6.264905167E-06,-0.0042566314,7.1797385769E-05
0.007751938,0.2093023256,0,0.2299550943,-6.825867293E-06,-0.0046290795,7.2894415854E-05
0.007751938,0.2170542636,0,0.2479037096,-7.394497195E-06,-0.0050066138,7.3777052454E-05
0.007751938,0.2248062016,0,0.2660431735,-7.969164475E-06,-0.0053881553,7.445336813E-05
0.007751938,0.2325581395,0,0.2843241,-8.548299558E-06,-0.0057726634,0.000074931
0.007751938,0.2403100775,0,0.3026986503,-9.130389912E-06,-0.0061591334,0.000075217
0.007751938,0.2480620155,0,0.3211204503,-0.000009714,-0.0065465946,7.5317914636E-05
0.007751938,0.2558139535,0,0.3395444989,-1.0297646942E-05,-0.0069341075,7.5239826552E-05
0.007751938,0.2635658915,0,0.3579270707,-0.00001088,-0.0073207613,7.498816115E-05
0.007751938,0.2713178295,0,0.376225616,-1.1459818316E-05,-0.007705671,7.4567833275E-05
0.007751938,0.2790697674,0,0.3943986618,-1.2035702449E-05,-0.0080879753,7.3983233568E-05
0.007751938,0.2868217054,0,0.4124057142,-1.260643082E-05,-0.0084668339,7.3238255842E-05
0.007751938,0.2945736434,0,0.4302071667,-1.3170773774E-05,-0.0088414254,7.2336331453E-05
0.007751938,0.3023255814,0,0.4477642148,-1.3727526592E-05,-0.0092109449,7.1280469615E-05
0.007751938,0.3100775194,0,0.465038778,-1.4275506393E-05,-0.0095746022,7.0073302707E-05
0.007751938,0.3178294574,0,0.4819934317,-1.4813549396E-05,-0.0099316202,6.8717135717E-05
0.007751938,0.3255813953,0,0.4985913488,-1.5340508594E-05,-0.0102812333,0.000067214
0.007751938,0.3333333333,0,0.5147962531,-1.5855251828E-05,-0.0106226863,6.5565703803E-05
